clock,value_min,value_avg,value_max
1592175600,478192,6541871,43984792
1592179200,692408,3232377,20246368
1592182800,900024,2747639,6930336
1592186400,579528,3007090,11324616
1592190000,1313960,6043228,18259560
1592193600,1125536,3064265,9640536
1592197200,838752,2380368,8129032
1592200800,284192,1863059,6507496
1592204400,518328,2149225,5843832
1592208000,239048,1349118,10290192
1592211600,229584,1699479,5777184
1592215200,1077576,5374556,12703760
1592218800,1872656,11688517,55311432
1592222400,9411240,45159726,116556072
1592226000,4525856,26146030,122627408
1592229600,4478784,12428314,26701520
1592233200,6965232,19193596,63554336
1592236800,4624552,12336080,35422528
1592240400,6679280,14179100,43734680
1592244000,5259400,13825742,36605880
1592247600,3777224,10890251,92238672
1592251200,1352080,8666319,28231824
1592254800,1939184,7841818,33321784
1592258400,1500584,4484835,12103776
1592262000,1726200,6090288,21342664
1592265600,1073616,3786145,13235072
1592269200,992016,3308534,13900592
1592272800,827744,2386204,8111776
1592276400,566288,2766402,9696632
1592280000,382928,2747702,18288160
1592283600,801712,3301215,31926952
1592287200,756864,2013842,5136712
1592290800,622368,3835415,18659048
1592294400,220568,2391970,31763792
1592298000,292464,4275700,24522424
1592301600,1440296,7246180,20383560
1592305200,1953032,14240193,70855848
1592308800,6507120,14851581,40213600
1592312400,7076432,18319324,49898952
1592316000,4591656,13518041,38363832
1592319600,4654080,18931864,38518736
1592323200,5392768,18993116,58670848
1592326800,6293160,18035611,56513128
1592330400,4528384,16522325,93764944
1592334000,1875768,8032221,17089640
1592337600,854040,5064462,16811200
1592341200,1327696,4742733,17299480
1592344800,1588632,5009250,12446416
1592348400,1361360,3041179,11444560
1592352000,1433288,3927261,9841920
1592355600,756848,3790030,17513160
1592359200,384152,1759326,4389104
1592362800,970248,4137464,12174448
1592366400,259056,1879588,6172808
1592370000,763088,2099908,8083752
1592373600,160744,997294,3928272
1592377200,182240,1326569,4194488
1592380800,152584,457668,1911520
1592384400,302408,2808230,22604880
1592388000,542016,8634134,63061672
1592391600,3580120,13431704,56699560
1592395200,5715712,21403102,102579688
1592398800,3188304,22061909,77531800
1592402400,5040248,17581917,47163032
1592406000,5549832,13533023,27581432
1592409600,4330344,19498004,42562240
1592413200,6222880,14395915,54962272
1592416800,6895608,17266174,33814944
1592420400,3159264,10938584,43665784
1592424000,951008,3879477,15033240
1592427600,2100192,8714990,74898968
1592431200,1851720,4890062,10644320
1592434800,1756096,4301056,16035392
1592438400,954048,4203398,9881200
1592442000,2590384,5737685,15298496
1592445600,2122832,8303229,20105616
1592449200,1061048,3580005,15116824
1592452800,449104,2977130,20228208
1592456400,494680,1277295,6164440
1592460000,491912,1628442,10629072
1592463600,466864,1781887,4447824
1592467200,515688,3503316,32018736
1592470800,618976,5810315,15675520
1592474400,1597840,9889584,30543448
1592478000,3188696,16813636,75829368
1592481600,4575456,20828497,63124224
1592485200,7185720,23753520,86512592
1592488800,8449920,18621680,47561984
1592492400,9983928,26799484,91644240
1592496000,11245928,20421497,52247840
1592499600,6066912,16976647,45752136
1592503200,8053296,17008375,86547320
1592506800,3510352,10382847,23680488
1592510400,1275160,5763508,28088880
1592514000,2001608,7104710,63259472
1592517600,2746664,5843706,15742568
1592521200,1449600,6382566,40418568
1592524800,1013912,3992313,11431552
1592528400,1351288,3363226,9113344
1592532000,937168,3567693,12078504
1592535600,564208,1906899,5673520
1592539200,487776,1144948,4591608
1592542800,598552,1860535,8114736
1592546400,227904,1986510,13095648
1592550000,201320,1397959,9918864
1592553600,212888,1278493,5278904
1592557200,232712,3353106,56278952
1592560800,2814456,12107089,70012120
1592564400,6044104,28949312,77908352
1592568000,13441952,47495770,120737736
1592571600,10020712,36585523,83286792
1592575200,7665008,24844264,98940224
1592578800,7147784,23267046,58876504
1592582400,7460800,31416269,72054616
1592586000,11289000,23199340,63236272
1592589600,4184120,17576373,70617480
1592593200,5069848,16151298,67700024
1592596800,2248784,13306240,75540808
1592600400,768408,4011137,11777960
1592604000,1240224,5138776,15605744
1592607600,2374032,5692426,17063656
1592611200,2122400,3999810,9412288
1592614800,1794736,4717418,15202976
1592618400,3766848,7323065,19307000
1592622000,665048,5041324,20212656
1592625600,706040,2240213,6434184
1592629200,856784,2672669,10925432
1592632800,509896,1598450,8130400
1592636400,486960,947954,3165880
1592640000,432656,946353,2039632
1592643600,563312,3647100,14927296
1592647200,587720,2241768,5448664
1592650800,735464,4972973,25689560
1592654400,1204664,3766903,11751160
1592658000,708144,3593154,8544064
1592661600,720488,4925327,18232848
1592665200,697216,3018690,10603936
1592668800,1363624,5013630,15397552
1592672400,1117352,4058492,11281208
1592676000,1706544,5774275,13309384
1592679600,1669072,4933627,34497424
1592683200,1694032,4546211,15041528
1592686800,1440192,3676835,8434800
1592690400,496904,2387602,8216520
1592694000,1349848,3538812,13342848
1592697600,1968568,5202740,13433320
1592701200,693440,3330676,9262776
1592704800,572864,3497708,11235704
1592708400,357520,5001393,24708816
1592712000,584592,2294604,6864376
1592715600,259488,1677059,6330320
1592719200,183568,1463132,7003104
1592722800,163280,773470,3750176
1592726400,157560,775327,4208432
1592730000,166288,809626,4280472
1592733600,279712,4097924,12570816
1592737200,453744,1812883,5903024
1592740800,387440,2653194,6721208
1592744400,891296,3826637,11681744
1592748000,953768,3262522,12550888
1592751600,587200,5198355,105559800
1592755200,510696,4524246,39509448
1592758800,1394024,3637082,13344840
1592762400,1278328,6231704,13856928
1592766000,1613312,4149150,8042520
1592769600,620120,2894861,7315424
1592773200,666488,1961092,4447888
1592776800,518616,3724626,11420184
1592780400,768152,3362547,14338344
1592784000,424648,2118524,22274224
1592787600,532832,2137188,6600288
1592791200,424704,2025050,8601064
1592794800,798776,2510849,5911296
1592798400,345624,1998744,4515936
1592802000,282072,1063193,2697984
1592805600,173232,599937,4668560
1592809200,154768,716901,8287160
1592812800,176176,606209,2341960
1592816400,457776,3094046,22212992
1592820000,970248,8468182,26427680
1592823600,5234896,12826294,28677456
1592827200,7804840,63522638,228229384
1592830800,9473448,33143853,94180088
1592834400,6698976,15156554,32345424
1592838000,8076552,20793946,135637072
1592841600,7505928,21998251,68482304
1592845200,6694520,37762535,184273264
1592848800,8774000,20045446,37696752
1592852400,3586784,11749589,32600120
1592856000,744960,3861098,11743928
1592859600,749176,2536316,15171720
1592863200,975200,2975798,8062480
1592866800,913272,6359146,30730064
1592870400,663120,7247301,16125400
1592874000,4713576,7100750,10678408
1592877600,5307136,8497636,18555328
1592881200,4704280,11131216,115719008
1592884800,4133696,9255209,27485232
1592888400,4726960,7739293,16108600
1592892000,306216,4978099,10814040
1592895600,196872,1136630,12331000
1592899200,202432,1496032,8031136
1592902800,367592,2447889,9833632
1592906400,1218520,4391230,15012368
1592910000,3659320,19970648,57994944
1592913600,7052384,25760857,56751376
1592917200,8086504,22521954,78364400
1592920800,7832856,18580306,49742424
1592924400,10465864,20100860,31446680
1592928000,9416336,22149462,63925456
1592931600,6582368,15932248,29541168
1592935200,10266520,19259368,34024536
1592938800,2951264,10950112,27824496
1592942400,2408000,8107645,19775192
1592946000,902248,4639150,66193576
1592949600,1565344,4642944,10008216
1592953200,1095792,4533159,17939304
1592956800,1484256,4275558,11072600
1592960400,2048512,5177263,8903536
1592964000,1470280,3111807,9689128
1592967600,837792,2706142,14163872
1592971200,282920,1801438,15255728
1592974800,285440,2198549,8886928
1592978400,297304,1927578,10448672
1592982000,185568,1037873,3633160
1592985600,343672,1603049,7995760
1592989200,311120,3245914,10166592
1592992800,873512,7420753,28235600
1592996400,3725552,12349208,61118608
1593000000,6248376,25297891,78349136
1593003600,8986688,22900750,61383344
1593007200,10317296,20767317,42997152
1593010800,11487320,22956793,44431120
1593014400,4651728,17549977,41621704
1593018000,2899632,15348066,27639224
1593021600,7153216,19257873,40229240
1593025200,2088784,8556169,22837096
1593028800,1749232,8582747,21217272
1593032400,993440,4449392,14492304
1593036000,848200,3339384,11031744
1593039600,748000,4521226,25627712
1593043200,693088,3554224,7684400
1593046800,1013304,5058649,16284320
1593050400,424200,3342218,9346232
1593054000,425336,4587064,26158592
1593057600,217520,2201969,30815040
1593061200,184024,1835315,8527728
1593064800,305896,2129213,6950168
1593068400,167048,936776,5537880
1593072000,164872,1337410,6463368
1593075600,260432,2140804,6009192
1593079200,1313584,6000764,24032984
1593082800,7097296,31950618,82267592
1593086400,10288704,39737546,114091760
1593090000,10672008,19749165,33501648
1593093600,8877544,16972597,31634576
1593097200,11426048,23727450,53581320
1593100800,14191408,30224323,98066784
1593104400,7384120,22413966,61079544
1593108000,7207720,16941902,34256664
1593111600,6618256,15665480,36345416
1593115200,1972032,6964078,16727216
1593118800,1067800,4975201,19985432
1593122400,2010328,4689298,14689216
1593126000,569248,4081710,13753008
1593129600,766720,4646254,16939376
